sentence,spoiler,verb,page,trope,num_present
anni come back luci door steal aliv kemp away spectacular ass pull ,True,True,beinghuman,deus ex machina,False
made less explicit make histori evil overlord hal omin red black banner,True,True,beinghuman,master race,False
kirbi seri 4 impli part becam serial killer,True,True,beinghuman,evil feel good,True
rather narmish georg near transform public,False,True,beinghuman,face cam,False
aliv enough feel pain dead enough surviv without major organs lead human dissect first type 4s later inciner biohazard still conscious,True,True,beinghuman,fate wors death,True
trap bodi sever week death decay enough simpli sustain soul more time recov injuri sustain can feel decompos inside,True,True,beinghuman,fate wors death,False
herrick tend act like this well sever vampir kirbi seri 4,True,True,beinghuman,faux affabl evil,True
seri one final anni liter breez vampir safehous summon eeri gust toss vamp around left right ghost telekinesis,True,True,beinghuman,foe toss charg,False
repeat trick end seri 4,True,True,beinghuman,foe toss charg,True
hal arm expos burnt end episod see mark eve nemesis,True,True,beinghuman,foreshadow,False
end foreshadow futureh concentraion camp brand eve mark nemesi,True,True,beinghuman,foreshadow,False
hell pretti much villain foe yay anni murder owen ironic fiancee,False,True,beinghuman,foe yay,False
kirbi impli motiv rant hate see happi famili famili tore apart kid,True,True,beinghuman,freudian excus,False
cutler evil hal made way want make vampiredad proud,True,True,beinghuman,freudian excus,False
anni turn kill eve,True,True,beinghuman,ghost goal,False
aliv kill georg manag induc partial werewolf transform seri 4 need werewolf strength rescu daughter,True,True,beinghuman,heroic sacrific,True
end suffer major organ failure,True,True,beinghuman,heroic sacrific,False
use combin make effect powerful,False,True,beinghuman,holi burn evil,False
howev multipl vampir repel effect becom weaker,False,True,beinghuman,holi burn evil,False
hal say go back come make even worse,False,True,beinghuman,horror hunger,False
cutler hal experi hand one another love interest cutler wife alex what,True,True,beinghuman,ate,False
former lead cutler monster sob stori latter result it,True,True,beinghuman,ate,False
mitchell seri 3 finale beg georg stake ,True,True,beinghuman,self termin,True
subvert cutler toward hal  kind bipolar hate issu there,True,True,beinghuman,hate vampir dad,False
 subvert mark hospit chaplain mitchel sinc verbal spar there just fisticuffs,True,True,beinghuman,know somewher fight,False
sever longdelay one cutler hal hal past attempt turn cutler evil turn gone horribl right ,True,True,beinghuman,iron echo,False
one mitchel strategi tri get georg stake tri convinc friendship lie found georg pathetic georg knew trope mitchel heart keep act,True,True,beinghuman,shall taunt,False
alex kick fuss realis go stuck dress wore date,False,True,beinghuman,jacob marley apparel,False
anni mitchel coupl now,False,True,beinghuman,just friend,False
seri 3 final herrick mitchel ,True,True,beinghuman,kill real,True
first episod seri 4 george nina kill seri 3 seri 4,True,True,beinghuman,kill real,True
end seri 4 origin four dead  deader dead anni case ,True,True,beinghuman,kill real,True
 jaggat organis seem think mission supernatur creatur holi one though jaggat seem lean science,False,True,beinghuman,knight templar,False
lia invent wolfshap bullet propheci just can screw mitchel head vengeanc box tunnel 20 ,True,True,beinghuman,manipul bastard,True
kirbi season 4 epitom this,True,True,beinghuman,manipul bastard,True
complet play tom annie realis guid hal manipul tom anni drive house,True,True,beinghuman,manipul bastard,False
fals propheci gave mitchel major stori arc seri 3 ,True,True,beinghuman,meaning name,True
also eve georg nina daughter season four state first kind,True,True,beinghuman,meaning name,False
eve war child propheci defeat vampir prevent takeov earth,False,True,beinghuman,messiah,False
except isnt,True,True,beinghuman,messiah,False
fact human reli save day rather form cohes defenc snow theori bad futur came first place,True,True,beinghuman,messiah,False
anni tend throw thing accident purpose around angry kirbi use stop man heart,True,True,beinghuman,mind matter,False
whole s 04 e 01 seem made this extent know laugh crying,False,True,beinghuman,mood whiplash,True
georg kill herrick may resolv one problem turn seri 2 repercuss involv power vacuum vampir lot  loss system kept supernatur exist wraps georg becom notori enough target vampir loyal herrick,True,True,beinghuman,nice job break hero,True
though thing tentat get better wait nope actual get back wors ,True,True,beinghuman,nice job break hero,False
anni stake vampir go silenc turn nancy whod discov proof mitchel murder box tunnel 20 arguabl done best intentions,True,True,beinghuman,nice job break hero,True
howev lead nanci get mitchel arrest whole masquerad supernatur exist break  even worse herrick wipe remain polic hous got memori back ,True,True,beinghuman,nice job break hero,False
attempt rescu mitchel annie hard pulsepound action know it george pathetic,True,True,beinghuman,non action guy,False
william herrick lee tulli anthoni mcnair ever refer surnam ,True,True,beinghuman,name given,False
learn first name respect killed,True,True,beinghuman,name given,False
forget john mitchell almost univers known last name,True,True,beinghuman,name given,False
 gutwrench subvert anni owen  later play straight ,True,True,beinghuman,afraid anymor,False
anni get anoth one seri 2 stand men behind door,True,True,beinghuman,afraid anymor,True
 yet anyon actual call demons come  seri 4 introduc yvonne succubus,False,True,beinghuman,demon differ,True
vampires like blade underworld  ancient conspiraci date back hundr years,False,True,beinghuman,vampir differ,False
can also kill bomb blast  possibl gunshot wound well although unlik option uk,True,True,beinghuman,vampir differ,False
need invit enter home mobil home count,True,True,beinghuman,vampir differ,False
realli old vampires call old ones like wyndham suppos thousand year old can enter home uninvit unaffect crucifixes,True,True,beinghuman,vampir differ,False
vampir can also ignor repel effect holi symbol recent consum blood,True,True,beinghuman,vampir differ,False
transform can partial suppress stay pressur chamber although far attempt unpleas results,False,True,beinghuman,werewolv differ,False
werewolv carri latent effect even human form sharper sens lead just full moon rapid or least rapid er  healing evid nina get stab herrick ,True,True,beinghuman,werewolv differ,False
two werewolv child will werewolf though will supernatur power ,True,True,beinghuman,werewolv differ,False
extrem effort possibl werewolf partial chang without full moon though heal away damag suffer transformation werewolf will die multipl organ failur minut ,True,True,beinghuman,werewolv differ,False
werewolf blood also toxic vampires burn contact kill consum it,True,True,beinghuman,werewolv differ,False
never problem fourth series though,True,True,beinghuman,werewolv differ,False
lia pull mitchel wolf shape bullet propheci ,True,True,beinghuman,paranoia gambit,False
nina talk georg mitchel mitchel respons box tunnel 20  mitchel tell best friend girlfriend propheci got lia wolfshap bullet  despit fact proven time time complet trust george,True,True,beinghuman,poor communic kill,True
event lead direct one charact death finale,True,True,beinghuman,poor communic kill,False
seem propheci becom differ third piec scroll read alongsid two flash forward sequence,True,True,beinghuman,prophet fallaci,False
hal reveal liter becom posterboy vampir equival hitler futur ,True,True,beinghuman,put reich,False
entir plotlin end mitchel death origin conceiv aidan turner cast hobbit produc knew lose hollywood still want give good sendoff,True,True,beinghuman,real life write plot,False
may hyberbol claim met christ 2000 year old seem like definit possibility,False,True,beinghuman,realli seven hundr year old,True
 lia creat whole wolfshap bullet thing make mitchel paranoid eventu met end ,True,True,beinghuman,self fulfil propheci,False
snow specul eve import human vampir firm believ is,True,True,beinghuman,self fulfil propheci,False
live human will wait save them time will give human chanc get rid old one room them,True,True,beinghuman,self fulfil propheci,False
lot thing die blow up,True,True,beinghuman,self fulfil propheci,False
first said revulsion said humor regus found get full experience,True,True,beinghuman,sick wrong,False
vampires appar also ghost werewolves,False,True,beinghuman,stronger age,False
experi prevent werewolf transform show progress less successful,False,True,beinghuman,suffici analyz magic,False
professor luci jaggart wrote book intellig design call god blueprint ,True,True,beinghuman,take,False
georg nina impli anni join them along babi eve ,True,True,beinghuman,togeth death,False
anni refus opportun pass over although arguabl process began break emot enslav owen,True,True,beinghuman,took level badass,False
annie like whole new skillset,True,True,beinghuman,took level badass,False
pearl leo hal also count,True,True,beinghuman,two guy girl,False
2037 human awar werewolv vampires,True,True,beinghuman,unmasqu world,True
human werewolv least partial allianc resist vampires almost control entir planet,True,True,beinghuman,unmasqu world,False
essenti get cook ,True,True,beinghuman,vampir invit,False
cutler ever want make old one particular hal proud him,True,True,beinghuman,well done son guy,False
futureev sent kirbi murder younger self  kill anni process  die stop vampir apocalyps ,True,True,beinghuman,well intent extremist,False
 episod 21 though heaven fall involv death mcnair uncl billy turn back herrick nanci discov exist vampir killed anni commit murder learn truth mitchell mitchel arrested polic discov vampir fail show photo fingerprint match set file decad before pregnant nina possibl fatally stab abdomen ,True,True,beinghuman,wham episod,True
count know does,True,True,beinghuman,wham episod,False
georg pick stake look like take wyndham turn stake mitchel save wyndham ,True,True,beinghuman,wham episod,False
georg nina babi prophesis bring end vampir race nina reveal murder vampires shown vampir basic taken world 2039 georg die heroic sacrifice,True,True,beinghuman,wham episod,True
contend man burn arm nemesi eve revealed hal whose arm burnt episod tom blood,True,True,beinghuman,wham episod,False
metaphor becom especi preval season 2 mitchel begin blood addict support group georg accident infect girlfriend  annie long invis normal people becom giddi prospect work pub street,True,True,beinghuman,mean symbol,True
actress portray her lee heejin former member girl group babi vox,False,True,bestlove,cast gag,False
dokko jin take ae jung park festoon bloom cherri tree overlook river disneylik amus park ten anniversari music idol debut,False,True,bestlove,cherri blossom,False
lampshad exec realiti show tri forc pil joo vote ae jung increas rate ,True,True,bestlove,execut meddl,False
also manag jang search mi na fourth and hidden nation treasur girl ,True,True,bestlove,flaw exploit,False
dokko jin chest pain overcom need look cool,True,True,bestlove,hospit gurney scene,False
real life lee seung gi known nice guy,False,True,bestlove,villain good public,False
lesser extent ae jung  jin  se ri jins ri relationship pure show,True,True,bestlove,love triangl,False
jin iron oblivi feel ae jung even though heart beat faster around her feel piti see hurt jealous see around guys etc,True,True,bestlove,oblivi love,False
 ae jung assum joking jin list thing joke about including  say want marri you think joke,True,True,bestlove,sarcast confess,False
dokko jin kiss ae jung just goe onstag accept reject pil joo,True,True,bestlove,test kiss,False
 dokko jin big red bow diamond flower ring littl finger,True,True,bestlove,wacki marriag propos,False
admir gladi glamor lifestyl best friend betty introduc mani new things,False,True,bombgirls,fundamentalist,False
lorna also cheat husband marco ,True,True,bombgirls,cheat heart,False
marga molinari botinera 2009 argentin telenovela set world football,True,True,botineras,kill real,True
main charact cristian chiqui flores play spain return argentina get marri girl marga molinari,False,True,botineras,kill real,False
open hostil other former communist claim director natur enemi opposit polit lean  actual alway make secret agreement plot togeth worker person profit,False,True,cameracafe,enemi mine,False
most notic sketch begin luca screw get tea instead coffee instead simpli throw away tri give someon els  the former solution strong communist belief keep wasting tea an instanc capitalism ,False,True,cameracafe,epic fail,False
total subvert anna who can brunett redhead depend episode wanda,False,True,cameracafe,fieri redhead,False
season 1 flaws still common sense just less book smart luca,False,True,cameracafe,flander,True
luca insan attach money,False,True,cameracafe,greed,False
will never work,False,True,cameracafe,will never catch,False
also alex big jerkass luca she get better season 5 though geller magnific bastard genuin enjoy drive peopl crazy,False,True,cameracafe,jerk ass,True
gaia arrives serious disgust andrea pathet doormat tell tough badass attitud made appealing,False,True,cameracafe,love redeem,False
also silvano course although kind most due shi naiv nature,False,True,cameracafe,nice guy,False
realli get mad can violent andrea,False,True,cameracafe,nice guy,False
now go marri other,True,True,cameracafe,offici coupl,False
patti silvano although platon life partner at least season 5,True,True,cameracafe,offici coupl,True
otherwis sinc alway deal paolo antic paolo 95 if so show,False,True,cameracafe,sane man,True
 quot line dialogu word word,False,True,cameracafe,matrix,False
 digitex guy there misunderstanding paolo pippo bastard break heart,False,True,cameracafe,catch phrase,False
although luca usual vitriol one,False,True,cameracafe,vitriol best bud,False
ricki play engelke host fiction show ricki popsofa ,False,True,diewochenshow,dumb live,False
niu admit crush leighton ,True,True,diplomaticimmunity,ho yay,False
feausian consul counterpart faakofan consulate play actor funnyafro ,True,True,diplomaticimmunity,inexplic ident individu,False
drake josh becom incred protect megan megan first kiss get first boyfriend cheat her,False,True,drakeandjosh,big brother instinct,False
expi celebr parodi encount main charact usual bizarr just evil,False,True,drakeandjosh,crapsaccharin world,False
offic gilbert excus want keep drake josh satisfi mari alic foster famili due incid got monkey christma like wanted destroy tree present escaped,False,True,drakeandjosh,freudian excus,False
hate christma ever since,True,True,drakeandjosh,freudian excus,False
offic gilbert christma movi drake josh send letter tell hate christma just ruin ,True,True,drakeandjosh,heel face turn,False
drake josh recount first fight differ instigator,False,True,drakeandjosh,rashomon style,False
drake bell decemb 2005 car accid caus product fourth season postpon three months three episod short hand,False,True,drakeandjosh,schedul slip,True
episod open minutelong fourth wall skit drake josh convers audienc separ locat residence may may relat main plot episode,False,True,drakeandjosh,teaser,False
said skit also highlight sibl yinyang aspect brothers,False,True,drakeandjosh,teaser,False
 dream high 2011 korean drama six aspir art student attend famous kirin art high school pursu dream becom stars,False,True,dreamhigh,dramat hour long,True
especi show tell jason mislead girl manners won pilsook over,False,True,dreamhigh,aloof big brother,False
miss also happen girl group suzy actress hyemi member,False,True,dreamhigh,celebr paradox,False
 first time involv jason sing pilsook accompani keyboard,False,True,dreamhigh,duet bond,False
exact friend time hyemi jingook meet children,False,True,dreamhigh,forgotten childhood friend,False
jingook immedi abl recogn meet again hyemi fail rememb him,False,True,dreamhigh,forgotten childhood friend,False
pilsook one due chanc student showcas get dash member special admiss class diet work out find jason usus nice everyone just her,False,True,dreamhigh,heroic b s o d,False
 hyemi experi one life spiral downward sister live cardboard box street sister die refus play along samdong talent search program thus fail bring kirin,False,True,dreamhigh,imagin spot,False
baekhee however lose fight hyemi wonder reason special applic still accept despit mess showcase,False,True,dreamhigh,memento mac guffin,False
jingook left father hous,False,True,dreamhigh,runaway,False
korean language jung ahjung name read backward forwards,False,True,dreamhigh,sdrawkcab name,False
seri also narrat humor chris rock look back younger self typic say opposit younger chris thinks,False,True,everybodyhateschris,artist licens,False
 polic officer maam son kill governor kidnap daughter rob presid ran red light,False,True,everybodyhateschris,arson murder jaywalk,False
end got total makeover,False,True,everybodyhateschris,beauti along,False
truth televis ,False,True,everybodyhateschris,bland name product,False
turn want fbi,False,True,everybodyhateschris,bluff impostor,False
 julius actual tri bribe someon penny,False,True,everybodyhateschris,comic small bribe,False
 notabl chris though young charact qualify,False,True,everybodyhateschris,charact develop,False
also seri final drop high school 10th grade keep true chris rock real life,True,True,everybodyhateschris,downer end,True
consid chris life turn that much downer end ,True,True,everybodyhateschris,downer end,False
however reagan start downsiz lost job kill move spiral downward path paranoia schizophrenia wander street gazoo told find true happi live box,True,True,everybodyhateschris,hidden depth,False
everybodi hate bomb threats reveal end chris fake bomb threat led bomb squad ignor anoth bomb threat result school blown ,True,True,everybodyhateschris,nice job break hero,False
 earli caruso use word chris brooklyn beach 80s get away it accord narrat did dmx consert twenti year later got stomped,False,True,everybodyhateschris,n word privileg,True
fails tonya kind ask mother envelop can mail herself,False,True,everybodyhateschris,fail logic forev,False
noah wyle  er  star tom mason former colleg professor becom leader group soldier civilian struggl occupi alien force,False,True,fallingskies,steven spielberg,False
reason  none mention obvious possibl art store untouch point boobytrap locat strateg import  alien may art pretti pictur exact vital resourc war reason spend effort deni enemy,False,True,fallingskies,alien art appreci,False
cancer 16 given 5050 chanc live,False,True,fallingskies,broken bird,True
guard post medic room despit one doctor medic unlock cabinets,False,True,fallingskies,idiot ball,False
skitter six leg and two arms insectoid mandibles,False,True,fallingskies,insectoid alien,False
mutini the mutiny tom arrest confront captain weaver drug use errat behavior,True,True,fallingskies,anti mutini,False
fighter free take side tri stop weaver,True,True,fallingskies,anti mutini,False
becom antimutini tom confirm suspicion weaver disobey orders,True,True,fallingskies,anti mutini,False
entir episod mutiny base this,False,True,fallingskies,poor communic kill,False
brother that plus rape maggi short gang found her,False,True,fallingskies,rape special kind evil,False
mike screw kid retriev mission act like panicki idiot lead captur squadmate slay bunch children tri make alien speak stick gun mouth ,True,True,fallingskies,dumb live,False
thank you rick tell skitter good guy plans,True,True,fallingskies,dumb live,False
yet spacecraft manag visit new planet week even planet solar system,False,True,faroutspacenuts,run nonsensoleum,False
certain help impress girls come win adena nice guy side end help out,True,True,fifteenlove,closet geek,False
bate often treat cast though truth much closer stern teacher  manipul bastard cross,False,True,fifteenlove,dean bitterman,False
anybodi els notic pattern here,False,True,fifteenlove,killer rabbit,False
cameron mom dead,False,True,fifteenlove,miss mom,False
 also popular term nerd entir tv trope audienc owe tremend debt opposit land,False,True,happydays,catch phrase,False
except marion fonzi let anyon call that,False,True,happydays,embarrass first name,False
rais ador daughter work fulltim job accountant never hair place,False,True,happydays,glamor singl mother,False
good number fan actual believ henri winkler actual possess fonzi rule cool powers beg thing rang bang car hood make work quiet anim zoo,False,True,happydays,spock,False
woman manag convinc not leaves audienc see pictur fonzi babi ,True,True,happydays,miss mom,False
initi love american style episod featur harold gould howard susan neher joanie,False,True,happydays,darrin,False
second one notabl take place facsimil origin arnold give year show began 197 5 instead 197 4 ,False,True,happydays,reunion show,True
richi howard believ unit nation will put end wars,False,True,happydays,go huge,False
episod arnold catch fire fonzi tri break men room where he potsie ralph trapped via method,False,True,happydays,use head,False
girl come richi sit want him says sorry,False,True,happydays,worst seat hous,False
for exampl complain smutti stuff porn magazin care studi it,False,True,hausmeisterkrause,hypocrit humor,False
mani episod end outright worstcas scenarios,False,True,hausmeisterkrause,got wors,False
episod lisbeth realli rich suitor tommi specul leav dieter guy will soon name  von krause,True,True,hausmeisterkrause,von trope famili,False
anoth major exception nilka season 7 thrown dinner service yet met chef ramsay outsid told good job done whole,True,True,hellskitchen,accentu negat,True
 also serv crown moment funni ,True,True,hellskitchen,zoidberg,False
anoth delet scene scott chew josh vinni ask long garnish,False,True,hellskitchen,badass,False
season 6 dave find situation stay competition eventu win ,True,True,hellskitchen,badass,True
glorious lampshad ramsay himself chew anoth chef subpar perform said chef claim loos tip finger caus fumbl cooking,True,True,hellskitchen,badass,False
ramsay prompt explod face point dave bum leg broken arm yet still manag pull through best team,True,True,hellskitchen,badass,False
and now emerg motiv come challenge,False,True,hellskitchen,berserk button,False
also season 8 trev kind underdog,False,True,hellskitchen,butt monkey,True
dave went win it,True,True,hellskitchen,determin,False
doubl badass sinc dave manag keep wrap entir show crown moment awesom gordon later call anoth chef similar injuri it andy,True,True,hellskitchen,determin,False
sometim even let rip blatant racist insult ramsay face incredibly one yet elimin so,False,True,hellskitchen,research,False
say challeng one team just destroy one,False,True,hellskitchen,last play,False
sometim earli season usual second third episode ramsay like get real drill sergeant bust dorm 4 5 am,False,True,hellskitchen,drill sergeant nasti,True
arguabl sabrina season 8 well degre cook skill appear total stupid come intellig either,False,True,hellskitchen,dumb blond,True
earlier seasons ramsay just pick whoever least bad perform best worst get decid nominees,False,True,hellskitchen,earli instal weird,False
return vengeanc season 8 first red team eat meal featur grossest seafood imagin although gail actual disgust seafood common ate younger episod later eat plate full flower fill insect ,False,True,hellskitchen,eat,True
whenev complain teammates,False,True,hellskitchen,confess cam,False
shi let us watch chef chang dorms mani actual want see shirtless,False,True,hellskitchen,fan disservic,False
aversion holli someth nice look season 7,False,True,hellskitchen,fan disservic,True
season 7 benjamin tend say oui chef ramsay,False,True,hellskitchen,gratuit french,True
one servic season six got bad ramsay actual just sort stop bothering wander kitchen restaurant walk around street say sous chef camera crew believ gotten terrible,False,True,hellskitchen,heroic b s o d,False
next list trope hard regular refus work rest team blame mistakes,False,True,hellskitchen,hypocrit,False
except sabrina basic hate teammates women less got along,False,True,hellskitchen,im make friend,False
ninth season new option send shrimp cocktail ,True,True,hellskitchen,got wors,False
contest chef got good forc that,True,True,hellskitchen,got wors,False
s7 ed person complet chang drunk,False,True,hellskitchen,vino verita,True
also help good major jerkass one can cook well horribl get along team prolong stay hell kitchen,False,True,hellskitchen,jerkass,False
jennif elimin the two never got along begin with elis mouth much better chef was caus jennif curs elis flip walk ,False,True,hellskitchen,jerkass,False
sure rude danni occasion main danni call better cook ben even call worst cook remain member blue team one point natur feel least littl insult that,True,True,hellskitchen,jerk heart gold,False
heart gold come put differ asid tri best help danni win last dinner servic rather apathet whole thing like lacey giovanni,True,True,hellskitchen,jerk heart gold,False
furthermore consist tri ralli falter teammat even lacey,True,True,hellskitchen,jerk heart gold,False
mean best chef ben aim help,True,True,hellskitchen,jerk heart gold,False
expect bad fire kitchen gordon remark someon die sent hospit fatal mistake,False,True,hellskitchen,lethal chef,False
final paus breath ramsay said god finally,False,True,hellskitchen,long speech tea time,False
work,True,True,hellskitchen,manipul bastard,False
elis season 9 manag convinc will paul vouch jennif expens elimin segment do,True,True,hellskitchen,manipul bastard,True
however jennif lack communic service one ramsay major pet peeves,True,True,hellskitchen,manipul bastard,False
come here tennille take jacket leav hell kitchen ,True,True,hellskitchen,merci kill,False
ramsay natur tri insult salvator ask even knew read,False,True,hellskitchen,never learn read,False
usually meritbas elimin avoid episodes mia chef given cursori hand wave  ramsay say will return hell kitchen,False,True,hellskitchen,non gameplay elimin,False
suzann season 6 figur rest team get her,True,True,hellskitchen,proper paranoid,True
here,False,True,hellskitchen,rage quit,False
andrew right go back there want hear yell me,False,True,hellskitchen,rage quit,False
backfir horribl krupa manag absolut horribl elis carri argu like mad possibl cost will competit ,True,True,hellskitchen,reassign backfir,False
someon enter dine room usual part challeng famili friend contestants,True,True,hellskitchen,rule symbol,False
late competit  ramsay will invit guest brief surpris visit celebr great dinner servic  instead evict anyon ,True,True,hellskitchen,rule symbol,False
pattern sudden turn much mellow dark blue,True,True,hellskitchen,rule symbol,False
even ramsay sous chef scott went season 6 season 7,True,True,hellskitchen,screw im outta,True
inexplic start lot better coupl episod switch red team blue team blue team actual start win  went back terribl short thereafter,True,True,hellskitchen,shock elimin,False
 produc want milk carri elis fight worth  way explain one,True,True,hellskitchen,execut meddl,False
avert season 6 separ open exclus first episod spoil return robert season 5 ,True,True,hellskitchen,spoiler open,True
will hand end krupa final pick ensur carri paul team krupa spectacular aw servic followed almost singlehand destroy chanc will win ,True,True,hellskitchen,springtim hitler,False
even episod eliminated three remain men blue team want nomin choice,True,True,hellskitchen,team pet,False
left gave stand ovat told cry,True,True,hellskitchen,team pet,False
joseph challeng chef ramsay fight season six despit one frontrunn least bit danger go home time soon,False,True,hellskitchen,dumb live,False
avert season 9 elis lie ramsay face score beef wellington said tommi it yet eliminated,True,True,hellskitchen,dumb live,True
ridicul avert season 9 elis  made final 4 despit contest manipulative conniving mention worthless someon survivor big brother,True,True,hellskitchen,wrong genr savvi,True
ramsay open season 7 wife pose contestant make still disguise,True,True,hellskitchen,bastard,True
contest respond stock phrase,True,True,hellskitchen,bastard,False
real mother antonio regina piav ,True,True,herederosdeunavenganza,luke father,False
car move antonio blow up everybodi thouth dead actual taken explosion,False,True,herederosdeunavenganza,quit dead,False
first season final found hes aliv well convert islm join terrorist ,True,True,homeland,hero,False
american adapt just one,True,True,homeland,hero,False
goe even further turn carri colour code connect pseudorhym differ fase abu nazir life yellow lay fallow purpl indic purpose,True,True,homeland,ad allit appeal,False
arrang colour spectrum form time line case fridg brilliance carri made connect chronolog chromatology word similar morphology,True,True,homeland,ad allit appeal,False
walker also turn evil appar without shown kindness show much ruthless brodi ,True,True,homeland,tortur make evil,False
charlotte north carolina doubl dc northern virginia,False,True,homeland,california doubl,False
end first season mathison kick cia even though action prevent terrorist attack ,True,True,homeland,cassandra,False
abu nazir son quit ador death legitim tear jerker ,True,True,homeland,children innoc,False
the vest psychosi caus cross line brody tell est affair get fire ,True,True,homeland,dark secret,False
fixat bassist finger move rememb brodi finger move pattern whenev air,True,True,homeland,eureka moment,False
carri final act first season one realiz brodi call abu nazir son name sleep,True,True,homeland,eureka moment,False
make effort ingrain revel memori pass shock treatment ,True,True,homeland,eureka moment,False
side war hero suffer year tortur al qaeda turn well intent extremist wit murder coverup 83 children us ,True,True,homeland,gray grey moral,True
carri handl death well consid least partial respons especi sinc promis reed nonexistent protect beforehand ,True,True,homeland,let gwen staci die,False
also seem treat 911 way,True,True,homeland,let gwen staci die,True
also point bruis knuckl deck neonazi long afterward ,True,True,homeland,invulner knuckl,False
audienc recent learn brodi turn bomb school american militari ,True,True,homeland,iron echo,False
say turn opportun kill highprofil target order get opportun realli big score,False,True,homeland,long game,False
carrie blown ,True,True,homeland,medic,False
watch surveil footag tv show,False,True,homeland,meta guy,False
saul upon learn aileen rooftop direct lineofsight presid helipad ,True,True,homeland,oh crap,False
carri think this season 1 turn right brodi along  twist psycholog sane person either,True,True,homeland,sane man,True
carri unknow manag prevent brodi suicid bomb expens career brain cells,False,True,homeland,pyrrhic victori,False
